probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,formatted_question_5shot
"According to the opinion in ""George Santos v. James C. Kimmel"", in a copyright action, what affirmative defense excuses what might otherwise be considered infringing behavior?",fair use.,(E),"According to the opinion in ""George Santos v. James C. Kimmel"", in a copyright action, what affirmative defense excuses what might otherwise be considered infringing behavior?
(A) transformative use.
(B) trademark dilution.
(C) substantial similarity.
(D) actual malice.
(E) fair use.",transformative use.,trademark dilution.,substantial similarity.,actual malice.,fair use.,"[""transformative use."", ""substantial similarity."", ""actual malice."", ""trademark dilution.""]","According to the opinion in ""Santos v. Kimmel"", the affirmative defense in a copyright action is fair use.","In a copyright action, the affirmative defense of fair use “excuses what might otherwise be considered infringing behavior, allowing courts to avoid rigid application of the Copyright Act when it would stifle the very creativity the Act is meant to promote.”",I. Copyright Infringement and Fair Use,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""George Santos v. James C. Kimmel"", in a copyright action, what affirmative defense excuses what might otherwise be considered infringing behavior?
(A) transformative use.
(B) trademark dilution.
(C) substantial similarity.
(D) actual malice.
(E) fair use."
"In the case ""George Santos v. James C. Kimmel"", the court reviewed the District Court’s dismissal of Santos’s complaint de novo. Under what rule was Santos’s complaint dismissed by the District Court?",Rule 12(b)(6).,(D),"In the case ""George Santos v. James C. Kimmel"", the court reviewed the District Court’s dismissal of Santos’s complaint de novo. Under what rule was Santos’s complaint dismissed by the District Court?
(A) Rule 41(b).
(B) Rule 12(b)(1).
(C) Rule 56.
(D) Rule 12(b)(6).
(E) Rule 12(c).",Rule 41(b).,Rule 12(b)(1).,Rule 56.,Rule 12(b)(6).,Rule 12(c).,"[""Rule 12(b)(1)."", ""Rule 12(c)."", ""Rule 56."", ""Rule 41(b).""]","According to the opinion in ""Santos v. Kimmel"", the court reviewed the District Court’s dismissal of Santos’s complaint de novo, and the District Court dismissed the complaint under Rule 12(b)(6).",We review de novo the District Court’s dismissal of Santos’s complaint under Rule 12(b)(6).,DISCUSSION,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""George Santos v. James C. Kimmel"", the court reviewed the District Court’s dismissal of Santos’s complaint de novo. Under what rule was Santos’s complaint dismissed by the District Court?
(A) Rule 41(b).
(B) Rule 12(b)(1).
(C) Rule 56.
(D) Rule 12(b)(6).
(E) Rule 12(c)."
"In the case ""George Santos v. James C. Kimmel"", Santos appealed the District Court’s dismissal of his state law claims for breach of contract, breach of implied contract, and fraudulent inducement. On what ground did the District Court dismiss the first two state law claims?",preempted by the Copyright Act.,(B),"In the case ""George Santos v. James C. Kimmel"", Santos appealed the District Court’s dismissal of his state law claims for breach of contract, breach of implied contract, and fraudulent inducement. On what ground did the District Court dismiss the first two state law claims?
(A) barred by the statute of limitations.
(B) preempted by the Copyright Act.
(C) duplicative of his fraudulent inducement claim.
(D) subject to mandatory arbitration.
(E) qualitatively different from a copyright infringement claim.",barred by the statute of limitations.,preempted by the Copyright Act.,duplicative of his fraudulent inducement claim.,subject to mandatory arbitration.,qualitatively different from a copyright infringement claim.,"[""barred by the statute of limitations."", ""subject to mandatory arbitration."", ""duplicative of his fraudulent inducement claim."", ""qualitatively different from a copyright infringement claim.""]","According to the opinion in ""Santos v. Kimmel"", the District Court dismissed Santos’s state law claims for breach of contract and breach of implied contract on the ground that they were preempted by the Copyright Act.",The District Court dismissed the first two state law claims on the ground that they were preempted by the Copyright Act.,II. State Law Claims,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""George Santos v. James C. Kimmel"", Santos appealed the District Court’s dismissal of his state law claims for breach of contract, breach of implied contract, and fraudulent inducement. On what ground did the District Court dismiss the first two state law claims?
(A) barred by the statute of limitations.
(B) preempted by the Copyright Act.
(C) duplicative of his fraudulent inducement claim.
(D) subject to mandatory arbitration.
(E) qualitatively different from a copyright infringement claim."
"According to the opinion in ""George Santos v. James C. Kimmel"", Santos appealed the District Court’s dismissal of his state law claims for breach of contract and breach of implied contract. What federal law did the District Court say preempted those first two state law claims?",the Copyright Act.,(C),"According to the opinion in ""George Santos v. James C. Kimmel"", Santos appealed the District Court’s dismissal of his state law claims for breach of contract and breach of implied contract. What federal law did the District Court say preempted those first two state law claims?
(A) the Communications Act of 1934.
(B) the Lanham Act.
(C) the Copyright Act.
(D) ERISA.
(E) the Federal Arbitration Act.",the Communications Act of 1934.,the Lanham Act.,the Copyright Act.,ERISA.,the Federal Arbitration Act.,"[""the Lanham Act."", ""the Communications Act of 1934."", ""the Federal Arbitration Act."", ""ERISA.""]","According to the opinion in ""Santos v. Kimmel"", the District Court dismissed Santos’s state law claims for breach of contract and breach of implied contract on the ground that they were preempted by the Copyright Act.",The District Court dismissed the first two state law claims on the ground that they were preempted by the Copyright Act.,II. State Law Claims,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""George Santos v. James C. Kimmel"", Santos appealed the District Court’s dismissal of his state law claims for breach of contract and breach of implied contract. What federal law did the District Court say preempted those first two state law claims?
(A) the Communications Act of 1934.
(B) the Lanham Act.
(C) the Copyright Act.
(D) ERISA.
(E) the Federal Arbitration Act."
"In the case ""George Santos v. James C. Kimmel"", the Second Circuit discussed Santos’s direct breach of contract claim under the Cameo Terms of Service, which are governed by Illinois law. Under the quoted Illinois standard for extending a contract to noncontracting third parties, how strong must the implication be for the contract to apply to those outsiders?",so strong as to be practically an express declaration.,(A),"In the case ""George Santos v. James C. Kimmel"", the Second Circuit discussed Santos’s direct breach of contract claim under the Cameo Terms of Service, which are governed by Illinois law. Under the quoted Illinois standard for extending a contract to noncontracting third parties, how strong must the implication be for the contract to apply to those outsiders?
(A) so strong as to be practically an express declaration.
(B) manifesting a direct intent to benefit the third party.
(C) sufficiently definite to overcome the presumption against incidental beneficiaries.
(D) clear and unequivocal on the face of the contract.
(E) amounting to a meeting of the minds between the parties.",so strong as to be practically an express declaration.,manifesting a direct intent to benefit the third party.,sufficiently definite to overcome the presumption against incidental beneficiaries.,clear and unequivocal on the face of the contract.,amounting to a meeting of the minds between the parties.,"[""clear and unequivocal on the face of the contract."", ""manifesting a direct intent to benefit the third party."", ""sufficiently definite to overcome the presumption against incidental beneficiaries."", ""amounting to a meeting of the minds between the parties.""]","According to the opinion in ""Santos v. Kimmel"", while discussing Santos’s direct breach of contract claim under the Cameo Terms of Service governed by Illinois law, the Second Circuit quoted the Illinois standard for extending a contract to noncontracting third parties as requiring an implication so strong as to be practically an express declaration.","Indeed, “the implication that the contract applies to third parties must be so strong as to be practically an express declaration.”",II. State Law Claims,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""George Santos v. James C. Kimmel"", the Second Circuit discussed Santos’s direct breach of contract claim under the Cameo Terms of Service, which are governed by Illinois law. Under the quoted Illinois standard for extending a contract to noncontracting third parties, how strong must the implication be for the contract to apply to those outsiders?
(A) so strong as to be practically an express declaration.
(B) manifesting a direct intent to benefit the third party.
(C) sufficiently definite to overcome the presumption against incidental beneficiaries.
(D) clear and unequivocal on the face of the contract.
(E) amounting to a meeting of the minds between the parties."
"According to the opinion in ""George Santos v. James C. Kimmel"", George Santos appealed from a final judgment of the United States District Court for the Southern District of New York dismissing his copyright infringement and state law claims against Jimmy Kimmel, ABC, and ABC’s parent company. What company is identified as ABC’s parent company?",The Walt Disney Company,(C),"According to the opinion in ""George Santos v. James C. Kimmel"", George Santos appealed from a final judgment of the United States District Court for the Southern District of New York dismissing his copyright infringement and state law claims against Jimmy Kimmel, ABC, and ABC’s parent company. What company is identified as ABC’s parent company?
(A) Warner Bros. Discovery, Inc.
(B) Disney Media and Entertainment Distribution
(C) The Walt Disney Company
(D) American Broadcasting Companies, Inc.
(E) NBCUniversal Media, LLC","Warner Bros. Discovery, Inc.",Disney Media and Entertainment Distribution,The Walt Disney Company,"American Broadcasting Companies, Inc.","NBCUniversal Media, LLC","[""American Broadcasting Companies, Inc."", ""Disney Media and Entertainment Distribution"", ""NBCUniversal Media, LLC"", ""Warner Bros. Discovery, Inc.""]","According to the opinion in ""Santos v. Kimmel"", George Santos appealed from a final judgment of the United States District Court for the Southern District of New York dismissing his copyright infringement and state law claims against Jimmy Kimmel, ABC, and ABC’s parent company, The Walt Disney Company","Former Congressman George Santos appeals from a final judgment of the United States District Court for the Southern District of New York (Cote, J.) dismissing his copyright infringement and state law claims against Jimmy Kimmel, American Broadcasting Companies, Inc. (“ABC”), which airs Kimmel’s late-night show Jimmy Kimmel Live! (“JKL”), and ABC’s parent company, The Walt Disney Company.",Header,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""George Santos v. James C. Kimmel"", George Santos appealed from a final judgment of the United States District Court for the Southern District of New York dismissing his copyright infringement and state law claims against Jimmy Kimmel, ABC, and ABC’s parent company. What company is identified as ABC’s parent company?
(A) Warner Bros. Discovery, Inc.
(B) Disney Media and Entertainment Distribution
(C) The Walt Disney Company
(D) American Broadcasting Companies, Inc.
(E) NBCUniversal Media, LLC"
"According to the opinion in ""George Santos v. James C. Kimmel"", after Santos fulfilled each Cameo request, on what show did Kimmel air the videos as part of the mocking segment series ""Will Santos Say It?",Jimmy Kimmel Live!,(D),"According to the opinion in ""George Santos v. James C. Kimmel"", after Santos fulfilled each Cameo request, on what show did Kimmel air the videos as part of the mocking segment series ""Will Santos Say It?
(A) Cameo
(B) The Late Show with Stephen Colbert
(C) Saturday Night Live
(D) Jimmy Kimmel Live!
(E) The Tonight Show Starring Jimmy Fallon",Cameo,The Late Show with Stephen Colbert,Saturday Night Live,Jimmy Kimmel Live!,The Tonight Show Starring Jimmy Fallon,"[""The Tonight Show Starring Jimmy Fallon"", ""The Late Show with Stephen Colbert"", ""Saturday Night Live"", ""Cameo""]","According to the opinion in ""Santos v. Kimmel"", after Santos fulfilled each Cameo request, Kimmel aired the videos as part of the mocking segment series “Will Santos Say It?” on Jimmy Kimmel Live!","Santos fulfilled each request, and Kimmel then aired the videos on JKL as part of a mocking series of segments titled “Will Santos Say It?”",Header,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""George Santos v. James C. Kimmel"", after Santos fulfilled each Cameo request, on what show did Kimmel air the videos as part of the mocking segment series ""Will Santos Say It?
(A) Cameo
(B) The Late Show with Stephen Colbert
(C) Saturday Night Live
(D) Jimmy Kimmel Live!
(E) The Tonight Show Starring Jimmy Fallon"
"In the case ""George Santos v. James C. Kimmel"", the Court of Appeals is reviewing the District Court’s dismissal of Santos’s complaint under Rule 12(b)(6). Under what standard does the court review that dismissal?",de novo,(A),"In the case ""George Santos v. James C. Kimmel"", the Court of Appeals is reviewing the District Court’s dismissal of Santos’s complaint under Rule 12(b)(6). Under what standard does the court review that dismissal?
(A) de novo
(B) under plain-error review
(C) for abuse of discretion
(D) for clear error
(E) for substantial evidence",de novo,under plain-error review,for abuse of discretion,for clear error,for substantial evidence,"[""for clear error"", ""for abuse of discretion"", ""under plain-error review"", ""for substantial evidence""]","According to the opinion in ""Santos v. Kimmel"", the Court of Appeals reviews the District Court’s dismissal of Santos’s complaint under Rule 12(b)(6) de novo",We review de novo the District Court’s dismissal of Santos’s complaint under Rule 12(b)(6).,DISCUSSION,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""George Santos v. James C. Kimmel"", the Court of Appeals is reviewing the District Court’s dismissal of Santos’s complaint under Rule 12(b)(6). Under what standard does the court review that dismissal?
(A) de novo
(B) under plain-error review
(C) for abuse of discretion
(D) for clear error
(E) for substantial evidence"
"According to the opinion in ""George Santos v. James C. Kimmel"", after Kimmel used fictitious names to request personalized videos from Santos through Cameo and later aired those videos on Jimmy Kimmel Live!, what was the title of the mocking segment series on the show?",“Will Santos Say It?”,(D),"According to the opinion in ""George Santos v. James C. Kimmel"", after Kimmel used fictitious names to request personalized videos from Santos through Cameo and later aired those videos on Jimmy Kimmel Live!, what was the title of the mocking segment series on the show?
(A) “Will George Santos Say That?”
(B) “Truth or Cameo: Santos Edition?”
(C) “Will Santos Cameo It?”
(D) “Will Santos Say It?”
(E) “Can Santos Say It?”",“Will George Santos Say That?”,“Truth or Cameo: Santos Edition?”,“Will Santos Cameo It?”,“Will Santos Say It?”,“Can Santos Say It?”,"[""\u201cCan Santos Say It?\u201d"", ""\u201cWill George Santos Say That?\u201d"", ""\u201cWill Santos Cameo It?\u201d"", ""\u201cTruth or Cameo: Santos Edition?\u201d""]","According to the opinion in ""Santos v. Kimmel"", after Kimmel used fictitious names to request personalized videos from Santos through Cameo and later aired those videos on Jimmy Kimmel Live!, the title of the mocking segment series on the show was “Will Santos Say It?”","Santos fulfilled each request, and Kimmel then aired the videos on JKL as part of a mocking series of segments titled “Will Santos Say It?”",Header,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""George Santos v. James C. Kimmel"", after Kimmel used fictitious names to request personalized videos from Santos through Cameo and later aired those videos on Jimmy Kimmel Live!, what was the title of the mocking segment series on the show?
(A) “Will George Santos Say That?”
(B) “Truth or Cameo: Santos Edition?”
(C) “Will Santos Cameo It?”
(D) “Will Santos Say It?”
(E) “Can Santos Say It?”"
"According to the opinion in ""George Santos v. James C. Kimmel,"" decided by the United States Court of Appeals for the Second Circuit on appeal from a Rule 12(b)(6) dismissal, what doctrine did the court say barred Santos’s copyright infringement claims?",the fair use doctrine,(C),"According to the opinion in ""George Santos v. James C. Kimmel,"" decided by the United States Court of Appeals for the Second Circuit on appeal from a Rule 12(b)(6) dismissal, what doctrine did the court say barred Santos’s copyright infringement claims?
(A) the first sale doctrine
(B) the scènes à faire doctrine
(C) the fair use doctrine
(D) Copyright Act preemption
(E) the de minimis use doctrine",the first sale doctrine,the scènes à faire doctrine,the fair use doctrine,Copyright Act preemption,the de minimis use doctrine,"[""the de minimis use doctrine"", ""the first sale doctrine"", ""Copyright Act preemption"", ""the sc\u00e8nes \u00e0 faire doctrine""]","According to the opinion in ""Santos v. Kimmel"", decided by the United States Court of Appeals for the Second Circuit on appeal from a Rule 12(b)(6) dismissal, the court said Santos’s copyright infringement claims were barred by the fair use doctrine","Because we agree that Santos’s copyright claims were barred by the fair use doctrine and further conclude that each of Santos’s state law claims failed to state a claim, we affirm.",Header,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""George Santos v. James C. Kimmel,"" decided by the United States Court of Appeals for the Second Circuit on appeal from a Rule 12(b)(6) dismissal, what doctrine did the court say barred Santos’s copyright infringement claims?
(A) the first sale doctrine
(B) the scènes à faire doctrine
(C) the fair use doctrine
(D) Copyright Act preemption
(E) the de minimis use doctrine"
