step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,0,A,4
0,1,0.0,1,B,0
0,2,1.0,1,B,1
0,3,1.0,4,E,4
0,4,1.0,2,C,2
0,5,0.0,1,B,4
0,6,0.0,2,C,4
0,7,0.0,1,B,2
0,8,0.0,1,B,0
0,9,1.0,2,C,2
0,10,1.0,0,A,0
0,11,0.0,0,A,2
0,12,0.0,1,B,4
0,13,1.0,4,E,4
0,14,1.0,0,A,0
0,15,1.0,3,D,3
0,16,1.0,4,E,4
0,17,0.0,3,D,1
0,18,0.0,2,C,4
0,19,0.0,1,B,2
0,20,0.0,1,B,4
0,21,1.0,0,A,0
0,22,0.0,0,A,2
0,23,0.0,0,A,2
0,24,1.0,2,C,2
0,25,0.0,3,D,2
0,26,1.0,1,B,1
0,27,1.0,2,C,2
0,28,1.0,0,A,0
0,29,0.0,1,B,2
0,30,1.0,1,B,1
0,31,0.0,2,C,1
0,32,1.0,0,A,0
0,33,0.0,2,C,1
0,34,0.0,3,D,1
0,35,0.0,1,B,3
0,36,0.0,2,C,3
0,37,1.0,0,A,0
0,38,1.0,1,B,1
0,39,1.0,4,E,4
0,40,0.0,0,A,1
0,41,0.0,0,A,1
0,42,1.0,3,D,3
0,43,0.0,2,C,3
0,44,0.0,0,A,4
0,45,1.0,3,D,3
0,46,0.0,4,E,2
0,47,1.0,3,D,3
0,48,0.0,0,A,2
0,49,0.0,2,C,1
0,50,0.0,1,B,0
0,51,0.0,1,B,0
0,52,1.0,4,E,4
0,53,0.0,4,E,0
0,54,0.0,2,C,3
0,55,0.0,2,C,4
0,56,0.0,0,A,4
0,57,1.0,3,D,3
0,58,0.0,4,E,0
0,59,0.0,0,A,3
0,60,0.0,2,C,0
0,61,0.0,3,D,4
0,62,1.0,2,C,2
0,63,1.0,2,C,2
0,64,0.0,2,C,3
0,65,1.0,0,A,0
0,66,1.0,3,D,3
0,67,1.0,3,D,3
0,68,1.0,1,B,1
0,69,0.0,0,A,3
0,70,1.0,0,A,0
0,71,0.0,1,B,4
0,72,0.0,2,C,4
0,73,0.0,0,A,3
0,74,1.0,1,B,1
0,75,0.0,1,B,2
0,76,1.0,4,E,4
0,77,1.0,1,B,1
0,78,1.0,1,B,1
0,79,0.0,1,B,3
0,80,1.0,4,E,4
0,81,1.0,0,A,0
0,82,0.0,4,E,0
0,83,1.0,0,A,0
0,84,0.0,0,A,4
0,85,0.0,2,C,1
0,86,1.0,4,E,4
0,87,1.0,3,D,3
0,88,1.0,4,E,4
0,89,0.0,1,B,0
0,90,0.0,0,A,4
0,91,0.0,4,E,0
0,92,0.0,3,D,4
0,93,0.0,1,B,2
0,94,1.0,0,A,0
0,95,0.0,3,D,1
0,96,1.0,3,D,3
0,97,1.0,0,A,0
0,98,0.0,2,C,3
0,99,1.0,0,A,0
0,100,0.0,1,B,3
0,101,1.0,4,E,4
0,102,0.0,1,B,2
0,103,1.0,1,B,1
0,104,0.0,3,D,2
0,105,0.0,0,A,4
0,106,0.0,4,E,0
0,107,1.0,4,E,4
0,108,0.0,2,C,0
0,109,0.0,0,A,1
0,110,1.0,2,C,2
0,111,0.0,1,B,4
0,112,1.0,1,B,1
0,113,1.0,1,B,1
0,114,0.0,3,D,4
0,115,0.0,1,B,0
0,116,1.0,3,D,3
0,117,0.0,2,C,1
0,118,1.0,0,A,0
0,119,0.0,1,B,0
0,120,0.0,0,A,1
0,121,0.0,0,A,2
0,122,1.0,1,B,1
0,123,0.0,0,A,3
0,124,0.0,4,E,3
0,125,0.0,2,C,4
0,126,0.0,2,C,0
0,127,0.0,0,A,1
0,128,0.0,0,A,3
0,129,0.0,0,A,2
0,130,0.0,0,A,2
0,131,0.0,4,E,1
0,132,0.0,2,C,1
0,133,0.0,3,D,1
0,134,0.0,3,D,4
0,135,0.0,2,C,1
0,136,0.0,0,A,2
0,137,0.0,1,B,0
0,138,1.0,2,C,2
0,139,0.0,1,B,4
