domain,probe_index,old_target_words,new_target_words,decision,accepted,validation_status,split_word_index,old_probe,old_target,new_probe,new_target,fact,reason
America_First_Legal_Foundation_v_Jamieson_Greer,14,15,12,ACCEPT,True,accepted,3,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish", standing based on its interest in the information that it requested from DOJ through FOIA.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish standing based on", its interest in the information that it requested from DOJ through FOIA.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish standing based on its interest in the information that it requested from DOJ through FOIA.",Clean suffix remains specific basis
America_First_Legal_Foundation_v_Jamieson_Greer,20,9,8,ACCEPT,True,accepted,1,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying", the complaining party about the progress of an investigation.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying the", complaining party about the progress of an investigation.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying the complaining party about the progress of an investigation.",Removes article and preserves coherent target
America_First_Legal_Foundation_v_Jamieson_Greer,22,10,7,ACCEPT,True,accepted,3,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court explained that 5 U.S.C. § 1216 requires the Office of Special Counsel to investigate an allegation of", arbitrary or capricious withholding of information prohibited under section 552,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court explained that 5 U.S.C. § 1216 requires the Office of Special Counsel to investigate an allegation of arbitrary or capricious", withholding of information prohibited under section 552,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court explained that 5 U.S.C. § 1216 requires the Office of Special Counsel to investigate an allegation of arbitrary or capricious withholding of information prohibited under section 552",Clean suffix preserves legal object
America_First_Legal_Foundation_v_Jamieson_Greer,26,11,10,ACCEPT,True,accepted,1,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA contains a separate enforcement provision involving the Office of Special Counsel, under which, if a court orders production of improperly withheld agency records, awards attorneys’ fees against the agency, and specifically questions whether the agency acted arbitrarily or capriciously in withholding the records, OSC must determine whether disciplinary action is warranted against", the officer or employee who was primarily responsible for the withholding,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA contains a separate enforcement provision involving the Office of Special Counsel, under which, if a court orders production of improperly withheld agency records, awards attorneys’ fees against the agency, and specifically questions whether the agency acted arbitrarily or capriciously in withholding the records, OSC must determine whether disciplinary action is warranted against the", officer or employee who was primarily responsible for the withholding,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" FOIA contains a separate enforcement provision involving the Office of Special Counsel, under which, if a court orders production of improperly withheld agency records, awards attorneys’ fees against the agency, and specifically questions whether the agency acted arbitrarily or capriciously in withholding the records, OSC must determine whether disciplinary action is warranted against the officer or employee who was primarily responsible for the withholding",Removes article and preserves coherent target
America_First_Legal_Foundation_v_Jamieson_Greer,33,9,5,ACCEPT,True,accepted,4,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately", dismissed its case for failure to state a claim,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately dismissed its case for", failure to state a claim,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately dismissed its case for failure to state a claim",Clean suffix preserves dismissal ground
America_First_Legal_Foundation_v_Jamieson_Greer,62,9,3,ACCEPT,True,accepted,6,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about", how OSC might choose to exercise its enforcement discretion,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about how OSC might choose to exercise", its enforcement discretion,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about how OSC might choose to exercise its enforcement discretion",Clean suffix preserves object of speculation
America_First_Legal_Foundation_v_Jamieson_Greer,68,15,14,ACCEPT,True,accepted,1,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers", a concrete injury if he is denied information that a “statute entitled him to receive.”,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers a", concrete injury if he is denied information that a “statute entitled him to receive.”,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers a concrete injury if he is denied information that a “statute entitled him to receive.”",Removes article and preserves coherent target
America_First_Legal_Foundation_v_Jamieson_Greer,76,11,5,ACCEPT,True,accepted,6,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" while evaluating AFL’s second standing theory based on alleged informational injury from an OSC investigation, the court explained that because OSC need not provide section 1214 notice requirements in a section 1216 investigation, a judicial order mandating such an investigation", would not be reasonably likely to redress AFL’s second alleged injury.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" while evaluating AFL’s second standing theory based on alleged informational injury from an OSC investigation, the court explained that because OSC need not provide section 1214 notice requirements in a section 1216 investigation, a judicial order mandating such an investigation would not be reasonably likely to", redress AFL’s second alleged injury.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" while evaluating AFL’s second standing theory based on alleged informational injury from an OSC investigation, the court explained that because OSC need not provide section 1214 notice requirements in a section 1216 investigation, a judicial order mandating such an investigation would not be reasonably likely to redress AFL’s second alleged injury.",Clean suffix preserves redress conclusion
Apex_Bank_v_Cc_Serve_Corp,3,10,7,ACCEPT,True,accepted,3,"According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under"," Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under Section 2(d) of"," the Lanham Act, 15 U.S.C. § 1052(d)","According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)",Clean suffix preserves statutory source
Apex_Bank_v_Cc_Serve_Corp,27,16,15,ACCEPT,True,accepted,1,"According to the opinion in ""Apex Bank v. CC Serve Corp."", during prosecution of Apex Bank’s intent-to-use applications to register the ASPIRE BANK word and design marks, CC Serve submitted", a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", during prosecution of Apex Bank’s intent-to-use applications to register the ASPIRE BANK word and design marks, CC Serve submitted a", letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", during prosecution of Apex Bank’s intent-to-use applications to register the ASPIRE BANK word and design marks, CC Serve submitted a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.",Removes article and preserves coherent target
